,Estado,Celular,Televisão por assinatura,Acesso a internet no próprio domicílio,Acesso a internet por 3g ou 4g,Acesso por banda larga,Renda
93296,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93314,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93322,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93367,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93392,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93404,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93413,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93431,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93465,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93475,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93498,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93503,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93504,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93511,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93513,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93525,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93526,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93548,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93568,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93658,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93661,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93710,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93727,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93728,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93736,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93740,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93749,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93750,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93753,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93754,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93759,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93760,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93765,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93766,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93773,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93777,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93797,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93799,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93808,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93812,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93822,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93827,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93830,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93831,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
93849,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93863,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93869,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93871,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93873,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93894,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93901,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
93907,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93929,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
93935,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94046,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94049,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94072,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94087,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94112,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94128,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94144,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94160,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94165,São Paulo,Sim,Sim,Sim,Sim,Sim,Renda abaixo de R$1000
94168,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94189,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94191,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94209,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94217,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 3000 e 20000 reais
94227,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94230,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94234,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94260,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94267,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
94280,São Paulo,Sim,Sim,Sim,Sim,Sim,Entre 1000 e 3000 reais
